episode,map,local_planner,time,done_reason,collision,laser_scan,robot_model,robot_radius,robot_max_speed,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,number_dynamic_obs,form_dynamic_obs,size_dynamic_obs,speed_dynamic_obs,number_static_obs,form_static_obs,num_vertices_static_obs
0,730f75ae-2248-4bd7-b04d-f03c25c90506,dwa,206.5,['None'],False,[nan],burger,0.113,0.22,0.0,0.0,0.0,1.858,48.5,3.0,"[0.0, 0.0, 0.0]",2,"['circle', 'circle']","['0.2704602313233709', '0.22691431000137877']","['0.13095211149300834', '0.13095211149300834']",2,"['polygon', 'polygon']","['8', '3']"
0,730f75ae-2248-4bd7-b04d-f03c25c90506,dwa,206.9,['None'],False,[nan],burger,0.113,0.22,0.0,0.0,0.0,1.858,48.5,3.0,"[0.22, 0.0, -0.271]",2,"['circle', 'circle']","['0.2704602313233709', '0.22691431000137877']","['0.13095211149300834', '0.13095211149300834']",2,"['polygon', 'polygon']","['8', '3']"
0,730f75ae-2248-4bd7-b04d-f03c25c90506,dwa,207.5,['None'],False,[nan],burger,0.113,0.22,-0.035,0.217,-0.238,1.705,48.471,3.129,"[0.205, 0.0, -0.197]",2,"['circle', 'circle']","['0.2704602313233709', '0.22691431000137877']","['0.13095211149300834', '0.13095211149300834']",2,"['polygon', 'polygon']","['8', '3']"
0,730f75ae-2248-4bd7-b04d-f03c25c90506,dwa,208.1,['None'],False,[nan],burger,0.113,0.22,-0.023,0.204,-0.197,1.666,48.466,3.169,"[0.21, 0.0, 0.033]",2,"['circle', 'circle']","['0.2704602313233709', '0.22691431000137877']","['0.13095211149300834', '0.13095211149300834']",2,"['polygon', 'polygon']","['8', '3']"
0,730f75ae-2248-4bd7-b04d-f03c25c90506,dwa,208.6,['None'],False,[nan],burger,0.113,0.22,-0.023,0.204,-0.197,1.666,48.466,3.169,"[0.21, 0.0, 0.016]",2,"['circle', 'circle']","['0.2704602313233709', '0.22691431000137877']","['0.13095211149300834', '0.13095211149300834']",2,"['polygon', 'polygon']","['8', '3']"
0,730f75ae-2248-4bd7-b04d-f03c25c90506,dwa,209.1,['None'],False,[nan],burger,0.113,0.22,-0.023,0.204,-0.197,1.666,48.466,3.169,"[0.22, 0.0, -0.025]",2,"['circle', 'circle']","['0.2704602313233709', '0.22691431000137877']","['0.13095211149300834', '0.13095211149300834']",2,"['polygon', 'polygon']","['8', '3']"
0,730f75ae-2248-4bd7-b04d-f03c25c90506,dwa,209.6,['None'],False,[nan],burger,0.113,0.22,-0.026,0.218,-0.025,1.688,48.434,3.483,"[0.22, 0.0, -0.139]",2,"['circle', 'circle']","['0.2704602313233709', '0.22691431000137877']","['0.13095211149300834', '0.13095211149300834']",2,"['polygon', 'polygon']","['8', '3']"
0,730f75ae-2248-4bd7-b04d-f03c25c90506,dwa,210.3,['None'],False,[0.903],burger,0.113,0.22,-0.037,0.217,0.328,1.773,48.413,3.658,"[0.22, 0.0, 0.279]",2,"['circle', 'circle']","['0.2704602313233709', '0.22691431000137877']","['0.13095211149300834', '0.13095211149300834']",2,"['polygon', 'polygon']","['8', '3']"
0,730f75ae-2248-4bd7-b04d-f03c25c90506,dwa,210.7,['None'],False,[0.903],burger,0.113,0.22,-0.037,0.217,0.328,1.773,48.413,3.658,"[0.22, 0.0, 0.246]",2,"['circle', 'circle']","['0.2704602313233709', '0.22691431000137877']","['0.13095211149300834', '0.13095211149300834']",2,"['polygon', 'polygon']","['8', '3']"
0,730f75ae-2248-4bd7-b04d-f03c25c90506,dwa,211.4,['None'],False,[0.903],burger,0.113,0.22,-0.037,0.217,0.328,1.773,48.413,3.658,"[0.22, 0.0, 0.033]",2,"['circle', 'circle']","['0.2704602313233709', '0.22691431000137877']","['0.13095211149300834', '0.13095211149300834']",2,"['polygon', 'polygon']","['8', '3']"
