Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,mean_points,max_points,min_points,pointclouds,velocities
115.7,1,0,0,,[],[],[],[],[]
115.8,2,0,0,,[],[],[],[],[]
115.9,3,0,0,,[],[],[],[],[]
116.0,4,0,0,,[],[],[],[],[]
116.1,5,0,0,,[],[],[],[],[]
116.2,6,0,0,,[],[],[],[],[]
116.3,7,0,0,,[],[],[],[],[]
116.4,8,0,0,,[],[],[],[],[]
116.5,9,0,0,,[],[],[],[],[]
116.6,10,0,0,,[],[],[],[],[]
116.7,11,0,0,,[],[],[],[],[]
116.8,12,0,0,,[],[],[],[],[]
116.9,13,0,0,,[],[],[],[],[]
117.0,14,0,0,,[],[],[],[],[]
117.1,15,0,0,,[],[],[],[],[]
117.2,16,0,0,,[],[],[],[],[]
117.3,17,0,0,,[],[],[],[],[]
117.4,18,0,0,,[],[],[],[],[]
117.5,19,0,0,,[],[],[],[],[]
117.6,20,0,0,,[],[],[],[],[]
117.7,21,0,0,,[],[],[],[],[]
117.8,22,0,0,,[],[],[],[],[]
117.9,23,0,0,,[],[],[],[],[]
118.0,24,0,0,,[],[],[],[],[]
118.1,25,0,0,,[],[],[],[],[]
118.2,26,0,0,,[],[],[],[],[]
118.3,27,0,0,,[],[],[],[],[]
118.4,28,0,0,,[],[],[],[],[]
118.5,29,0,0,,[],[],[],[],[]
118.6,30,0,0,,[],[],[],[],[]
118.7,31,0,0,,[],[],[],[],[]
118.8,32,0,0,,[],[],[],[],[]
118.9,33,0,0,,[],[],[],[],[]
119.0,34,0,0,,[],[],[],[],[]
119.1,35,0,0,,[],[],[],[],[]
119.2,36,0,0,,[],[],[],[],[]
119.3,37,0,0,,[],[],[],[],[]
119.4,38,0,0,,[],[],[],[],[]
119.5,39,0,0,,[],[],[],[],[]
119.6,40,0,0,,[],[],[],[],[]
119.7,41,0,0,,[],[],[],[],[]
119.8,42,0,0,,[],[],[],[],[]
119.9,43,0,0,,[],[],[],[],[]
120.0,44,0,0,,[],[],[],[],[]
120.1,45,0,0,,[],[],[],[],[]
120.2,46,0,0,,[],[],[],[],[]
120.3,47,0,0,,[],[],[],[],[]
120.4,48,0,0,,[],[],[],[],[]
120.5,49,0,0,,[],[],[],[],[]
120.6,50,0,0,,[],[],[],[],[]
120.7,51,0,0,,[],[],[],[],[]
120.8,52,0,0,,[],[],[],[],[]
120.9,53,0,0,,[],[],[],[],[]
121.0,54,0,0,,[],[],[],[],[]
121.1,55,0,0,,[],[],[],[],[]
121.2,56,0,0,,[],[],[],[],[]
121.3,57,0,0,,[],[],[],[],[]
121.4,58,0,0,,[],[],[],[],[]
121.5,59,0,0,,[],[],[],[],[]
121.6,60,0,0,,[],[],[],[],[]
121.7,61,0,0,,[],[],[],[],[]
121.8,62,0,0,,[],[],[],[],[]
121.9,63,0,0,,[],[],[],[],[]
122.0,64,0,0,,[],[],[],[],[]
122.1,65,0,0,,[],[],[],[],[]
122.2,66,0,0,,[],[],[],[],[]
122.3,67,0,0,,[],[],[],[],[]
122.4,68,0,0,,[],[],[],[],[]
122.5,69,0,0,,[],[],[],[],[]
122.6,70,0,0,,[],[],[],[],[]
122.7,71,0,0,,[],[],[],[],[]
122.8,72,0,0,,[],[],[],[],[]
122.9,73,0,0,,[],[],[],[],[]
123.0,74,0,0,,[],[],[],[],[]
123.1,75,0,0,,[],[],[],[],[]
123.2,76,0,0,,[],[],[],[],[]
123.3,77,0,0,,[],[],[],[],[]
123.4,78,0,0,,[],[],[],[],[]
123.5,79,0,0,,[],[],[],[],[]
123.6,80,0,0,,[],[],[],[],[]
123.7,81,0,0,,[],[],[],[],[]
123.8,82,0,0,,[],[],[],[],[]
123.9,83,0,0,,[],[],[],[],[]
124.0,84,0,0,,[],[],[],[],[]
124.1,85,0,0,,[],[],[],[],[]
124.2,86,0,0,,[],[],[],[],[]
124.3,87,0,0,,[],[],[],[],[]
124.4,88,0,0,,[],[],[],[],[]
124.5,89,0,0,,[],[],[],[],[]
124.6,90,0,0,,[],[],[],[],[]
124.7,91,0,0,,[],[],[],[],[]
124.8,92,0,0,,[],[],[],[],[]
124.9,93,0,0,,[],[],[],[],[]
125.0,94,0,0,,[],[],[],[],[]
125.1,95,0,0,,[],[],[],[],[]
125.2,96,0,0,,[],[],[],[],[]
125.3,97,0,0,,[],[],[],[],[]
125.4,98,0,0,,[],[],[],[],[]
125.5,99,0,0,,[],[],[],[],[]
125.6,100,0,0,,[],[],[],[],[]
125.7,101,0,0,,[],[],[],[],[]
125.8,102,0,0,,[],[],[],[],[]
125.9,103,0,0,,[],[],[],[],[]
126.0,104,0,0,,[],[],[],[],[]
126.1,105,0,0,,[],[],[],[],[]
126.2,106,0,0,,[],[],[],[],[]
126.3,107,0,0,,[],[],[],[],[]
126.4,108,0,0,,[],[],[],[],[]
126.5,109,0,0,,[],[],[],[],[]
126.6,110,0,0,,[],[],[],[],[]
126.7,111,0,0,,[],[],[],[],[]
126.8,112,0,0,,[],[],[],[],[]
126.9,113,0,0,,[],[],[],[],[]
127.0,114,0,0,,[],[],[],[],[]
127.1,115,0,0,,[],[],[],[],[]
127.2,116,0,0,,[],[],[],[],[]
127.3,117,0,0,,[],[],[],[],[]
127.4,118,0,0,,[],[],[],[],[]
127.5,119,0,0,,[],[],[],[],[]
127.6,120,0,0,,[],[],[],[],[]
127.7,121,0,0,,[],[],[],[],[]
127.8,122,0,0,,[],[],[],[],[]
127.9,123,0,0,,[],[],[],[],[]
128.0,124,0,0,,[],[],[],[],[]
128.1,125,0,0,,[],[],[],[],[]
128.2,126,0,0,,[],[],[],[],[]
128.3,127,0,0,,[],[],[],[],[]
128.4,128,0,0,,[],[],[],[],[]
128.5,129,0,0,,[],[],[],[],[]
128.6,130,0,0,,[],[],[],[],[]
128.7,131,0,0,,[],[],[],[],[]
128.8,132,0,0,,[],[],[],[],[]
128.9,133,0,0,,[],[],[],[],[]
129.0,134,0,0,,[],[],[],[],[]
129.1,135,0,0,,[],[],[],[],[]
129.2,136,0,0,,[],[],[],[],[]
129.3,137,0,0,,[],[],[],[],[]
129.4,138,0,0,,[],[],[],[],[]
129.5,139,0,0,,[],[],[],[],[]
129.6,140,0,0,,[],[],[],[],[]
129.7,141,0,0,,[],[],[],[],[]
129.8,142,0,0,,[],[],[],[],[]
129.9,143,0,0,,[],[],[],[],[]
130.0,144,0,0,,[],[],[],[],[]
130.1,145,0,0,,[],[],[],[],[]
130.2,146,0,0,,[],[],[],[],[]
130.3,147,0,0,,[],[],[],[],[]
130.4,148,0,0,,[],[],[],[],[]
130.5,149,0,0,,[],[],[],[],[]
130.6,150,0,0,,[],[],[],[],[]
130.7,151,0,0,,[],[],[],[],[]
130.8,152,0,0,,[],[],[],[],[]
130.9,153,0,0,,[],[],[],[],[]
131.0,154,0,0,,[],[],[],[],[]
131.1,155,0,0,,[],[],[],[],[]
131.2,156,0,0,,[],[],[],[],[]
131.3,157,0,0,,[],[],[],[],[]
131.4,158,0,0,,[],[],[],[],[]
131.5,159,0,0,,[],[],[],[],[]
131.6,160,0,0,,[],[],[],[],[]
131.7,161,0,0,,[],[],[],[],[]
131.8,162,0,0,,[],[],[],[],[]
131.9,163,0,0,,[],[],[],[],[]
132.0,164,0,0,,[],[],[],[],[]
132.1,165,0,0,,[],[],[],[],[]
132.2,166,0,0,,[],[],[],[],[]
132.3,167,0,0,,[],[],[],[],[]
132.4,168,0,0,,[],[],[],[],[]
132.5,169,0,0,,[],[],[],[],[]
132.6,170,0,0,,[],[],[],[],[]
132.7,171,0,0,,[],[],[],[],[]
132.8,172,0,0,,[],[],[],[],[]
132.9,173,0,0,,[],[],[],[],[]
133.0,174,0,0,,[],[],[],[],[]
133.1,175,0,0,,[],[],[],[],[]
133.4,176,0,0,,1,"[x: 9.905913352966309
y: 2.851484537124634
z: 0.0]",[],[],[],"[x: 0.0
y: 0.0
z: 0.0]"
133.6,177,0,0,,3,"[x: 9.896281242370605
y: 2.8586432933807373
z: 0.0]",[],[],[],"[x: -0.09665530920028687
y: 0.07111786305904388
z: 0.0]"
133.8,178,0,0,,5,"[x: 9.876806259155273
y: 2.872667074203491
z: 0.0]",[],[],[],"[x: -0.09805814176797867
y: 0.06917081028223038
z: 0.0]"
134.0,179,0,0,,7,"[x: 9.857054710388184
y: 2.886298894882202
z: 0.0]",[],[],[],"[x: -0.09942175447940826
y: 0.0671960860490799
z: 0.0]"
134.2,180,0,0,,9,"[x: 9.837034225463867
y: 2.89953351020813
z: 0.0]",[],[],[],"[x: -0.10074560344219208
y: 0.06519448757171631
z: 0.0]"
134.4,181,0,0,,11,"[x: 9.816752433776855
y: 2.912365198135376
z: 0.0]",[],[],[],"[x: -0.10202917456626892
y: 0.06316681951284409
z: 0.0]"
134.6,182,0,0,,13,"[x: 9.796218872070312
y: 2.924788475036621
z: 0.0]",[],[],[],"[x: -0.10327193140983582
y: 0.061113886535167694
z: 0.0]"
134.8,183,0,0,,15,"[x: 9.775440216064453
y: 2.936798334121704
z: 0.0]",[],[],[],"[x: -0.10447338968515396
y: 0.05903651565313339
z: 0.0]"
135.0,184,0,0,,17,"[x: 9.754425048828125
y: 2.9483909606933594
z: 0.0]",[],[],[],"[x: -0.10563306510448456
y: 0.05693553388118744
z: 0.0]"
135.2,185,0,0,,19,"[x: 9.733182907104492
y: 2.9595606327056885
z: 0.0]",[],[],[],"[x: -0.1067504957318306
y: 0.054811783134937286
z: 0.0]"
135.4,186,0,0,,21,"[x: 9.711721420288086
y: 2.970303535461426
z: 0.0]",[],[],[],"[x: -0.10782522708177567
y: 0.052666109055280685
z: 0.0]"
135.6,187,0,0,,23,"[x: 9.690049171447754
y: 2.98061466217041
z: 0.0]",[],[],[],"[x: -0.10885684192180634
y: 0.05049937590956688
z: 0.0]"
135.8,188,0,0,,25,"[x: 9.668174743652344
y: 2.990490436553955
z: 0.0]",[],[],[],"[x: -0.10984492301940918
y: 0.048312440514564514
z: 0.0]"
136.0,189,0,0,,27,"[x: 9.64610767364502
y: 2.999927282333374
z: 0.0]",[],[],[],"[x: -0.11078906804323196
y: 0.046106189489364624
z: 0.0]"
136.2,190,0,0,,29,"[x: 9.623857498168945
y: 3.008920431137085
z: 0.0]",[],[],[],"[x: -0.11168891191482544
y: 0.04388149455189705
z: 0.0]"
136.4,191,0,0,,31,"[x: 9.60142993927002
y: 3.0174670219421387
z: 0.0]",[],[],[],"[x: -0.11254408955574036
y: 0.04163925722241402
z: 0.0]"
136.6,192,0,0,,33,"[x: 9.578838348388672
y: 3.0255637168884277
z: 0.0]",[],[],[],"[x: -0.11335425823926926
y: 0.03938036039471626
z: 0.0]"
136.8,193,0,0,,35,"[x: 9.556087493896484
y: 3.0332069396972656
z: 0.0]",[],[],[],"[x: -0.11411908268928528
y: 0.03710571303963661
z: 0.0]"
137.0,194,0,0,,37,"[x: 9.533187866210938
y: 3.040393829345703
z: 0.0]",[],[],[],"[x: -0.11483827233314514
y: 0.034816231578588486
z: 0.0]"
137.2,195,0,0,,39,"[x: 9.510150909423828
y: 3.047121286392212
z: 0.0]",[],[],[],"[x: -0.11551153659820557
y: 0.03251282125711441
z: 0.0]"
137.4,196,0,0,,41,"[x: 9.486982345581055
y: 3.053386688232422
z: 0.0]",[],[],[],"[x: -0.11613859981298447
y: 0.030196411535143852
z: 0.0]"
137.6,197,0,0,,43,"[x: 9.463693618774414
y: 3.059187650680542
z: 0.0]",[],[],[],"[x: -0.11671922355890274
y: 0.02786792628467083
z: 0.0]"
137.8,198,0,0,,45,"[x: 9.44029426574707
y: 3.0645217895507812
z: 0.0]",[],[],[],"[x: -0.11725316941738129
y: 0.02552829124033451
z: 0.0]"
138.0,199,0,0,,47,"[x: 9.416793823242188
y: 3.0693867206573486
z: 0.0]",[],[],[],"[x: -0.1177402213215828
y: 0.023178452625870705
z: 0.0]"
138.2,200,0,0,,49,"[x: 9.409664154052734
y: 3.087224245071411
z: 0.0]",[],[],[],"[x: 0.034140996634960175
y: 0.15048539638519287
z: 0.0]"
138.4,201,0,0,,51,"[x: 9.41466999053955
y: 3.1177737712860107
z: 0.0]",[],[],[],"[x: 0.01618010364472866
y: 0.15471221506595612
z: 0.0]"
138.6,202,0,0,,53,"[x: 9.41583251953125
y: 3.148876667022705
z: 0.0]",[],[],[],"[x: -0.004463651217520237
y: 0.15564027428627014
z: 0.0]"
138.8,203,0,0,,55,"[x: 9.41263484954834
y: 3.1797566413879395
z: 0.0]",[],[],[],"[x: -0.027229344472289085
y: 0.1525523066520691
z: 0.0]"
139.0,204,0,0,,57,"[x: 9.40473747253418
y: 3.2095413208007812
z: 0.0]",[],[],[],"[x: -0.051452141255140305
y: 0.14426405727863312
z: 0.0]"
139.2,205,0,0,,59,"[x: 9.39162826538086
y: 3.236205816268921
z: 0.0]",[],[],[],"[x: -0.07645424455404282
y: 0.12834008038043976
z: 0.0]"
139.4,206,0,0,,61,"[x: 9.373897552490234
y: 3.2594246864318848
z: 0.0]",[],[],[],"[x: -0.09975467622280121
y: 0.10238689929246902
z: 0.0]"
139.6,207,0,0,,63,"[x: 9.352019309997559
y: 3.2762413024902344
z: 0.0]",[],[],[],"[x: -0.11718133091926575
y: 0.0641017034649849
z: 0.0]"
139.8,208,0,0,,65,"[x: 9.327679634094238
y: 3.2848260402679443
z: 0.0]",[],[],[],"[x: -0.12398268282413483
y: 0.021238435059785843
z: 0.0]"
140.0,209,0,0,,67,"[x: 9.303448677062988
y: 3.2839128971099854
z: 0.0]",[],[],[],"[x: -0.11811021715402603
y: -0.021212615072727203
z: 0.0]"
140.2,210,0,0,,69,"[x: 9.279870986938477
y: 3.279428720474243
z: 0.0]",[],[],[],"[x: -0.11766241490840912
y: -0.023570246994495392
z: 0.0]"
140.4,211,0,0,,71,"[x: 9.256388664245605
y: 3.2744739055633545
z: 0.0]",[],[],[],"[x: -0.11716753989458084
y: -0.02591845579445362
z: 0.0]"
140.6,212,0,0,,73,"[x: 9.233009338378906
y: 3.269050359725952
z: 0.0]",[],[],[],"[x: -0.1166258156299591
y: -0.02825629711151123
z: 0.0]"
140.8,213,0,0,,75,"[x: 9.209744453430176
y: 3.263160467147827
z: 0.0]",[],[],[],"[x: -0.11603744328022003
y: -0.030582839623093605
z: 0.0]"
141.0,214,0,0,,77,"[x: 9.186602592468262
y: 3.2568063735961914
z: 0.0]",[],[],[],"[x: -0.11540266871452332
y: -0.03289714828133583
z: 0.0]"
141.2,215,0,0,,79,"[x: 9.163590431213379
y: 3.249990701675415
z: 0.0]",[],[],[],"[x: -0.11472174525260925
y: -0.03519830107688904
z: 0.0]"
141.4,216,0,0,,81,"[x: 9.140719413757324
y: 3.242716073989868
z: 0.0]",[],[],[],"[x: -0.11399494111537933
y: -0.037485379725694656
z: 0.0]"
141.6,217,0,0,,83,"[x: 9.117999076843262
y: 3.234985828399658
z: 0.0]",[],[],[],"[x: -0.11322253942489624
y: -0.039757467806339264
z: 0.0]"
141.8,218,0,0,,85,"[x: 9.095438003540039
y: 3.2268028259277344
z: 0.0]",[],[],[],"[x: -0.11240486055612564
y: -0.04201365262269974
z: 0.0]"
142.0,219,0,0,,87,"[x: 9.073044776916504
y: 3.218170166015625
z: 0.0]",[],[],[],"[x: -0.1115422248840332
y: -0.04425303637981415
z: 0.0]"
142.2,220,0,0,,89,"[x: 9.05082893371582
y: 3.2090914249420166
z: 0.0]",[],[],[],"[x: -0.11063498258590698
y: -0.046474721282720566
z: 0.0]"
142.4,221,0,0,,91,"[x: 9.028799057006836
y: 3.199570417404175
z: 0.0]",[],[],[],"[x: -0.10968349874019623
y: -0.04867782071232796
z: 0.0]"
142.6,222,0,0,,93,"[x: 9.006962776184082
y: 3.189610481262207
z: 0.0]",[],[],[],"[x: -0.10868814587593079
y: -0.05086145177483559
z: 0.0]"
