Time,data
15.100000302,0
192.900003858,1
351.450007029,2
573.450011469,3
736.550014731,4
895.350017907,5
1068.900021378,6
1241.400024828,7
1400.100028002,8
1558.650031173,9
1718.650034373,10
1887.600037752,11
2059.600041192,12
2229.800044596,13
2402.100048042,14
2576.100051522,15
2733.50005467,16
2909.550058191,17
3067.400061348,18
3232.100064642,19
3434.300068686,20
3592.650071853,21
3766.300075326,22
3925.850078517,23
4086.200081724,24
4245.050084901,25
4403.900088078,26
4604.200092084,27
4763.200095264,28
4924.600098492,29
