Time,data
61.50000123,1
249.700004994,2
284.200005684,3
317.800006356,4
333.100006662,5
452.400009048,6
489.300009786,7
530.400010608,8
716.850014337,9
811.50001623,10
848.200016964,11
877.00001754,12
891.250017825,13
924.050018481,14
1373.350027467,15
1532.350030647,16
1568.450031369,17
1614.250032285,18
1776.300035526,19
1870.100037402,20
1931.600038632,21
1954.700039094,22
2052.650041053,23
2131.600042632,24
2228.100044562,25
2264.600045292,26
2290.650045813,27
2313.900046278,28
2339.400046788,29
2357.950047159,30
2360.0000472,31
2363.600047272,32
2366.750047335,33
2373.800047476,34
2453.350049067,35
2516.350050327,36
2540.300050806,37
2552.850051057,38
2563.00005126,39
2583.750051675,40
2584.300051686,41
2585.800051716,42
2589.450051789,43
2598.900051978,44
2676.800053536,45
2711.800054236,46
2745.350054907,47
2759.600055192,48
2869.950057399,49
2933.250058665,50
2956.300059126,51
2968.800059376,52
2981.750059635,53
3000.400060008,54
3000.900060018,55
3002.350060047,56
3005.950060119,57
3015.300060306,58
3098.950061979,59
3251.350065027,60
3315.300066306,61
3339.250066785,62
3655.600073112,63
3773.900075478,64
3808.700076174,65
3836.150076723,66
3861.050077221,67
3937.650078753,68
4002.300080046,69
4015.900080318,70
4118.00008236,71
4152.600083052,72
4184.100083682,73
4359.50008719,74
4553.800091076,75
4690.900093818,76
4920.900098418,77
4969.300099386,78
5053.700101074,79
5088.300101766,80
5295.50010591,81
5394.600107892,82
5482.50010965,83
