Time,data
252.600005052,1
491.050009821,2
722.50001445,3
960.050019201,4
1177.850023557,5
1412.750028255,6
1644.350032887,7
1865.150037303,8
2104.900042098,9
2301.700046034,10
2542.350050847,11
2780.700055614,12
3036.450060729,13
3233.800064676,14
3430.850068617,15
3667.300073346,16
3868.200077364,17
4075.150081503,18
4314.150086283,19
4534.650090693,20
4827.050096541,21
5063.300101266,22
5280.200105604,23
5477.00010954,24
5723.550114471,25
5934.600118692,26
6131.050122621,27
6335.550126711,28
6558.600131172,29
