Time,data
383.900007678,1
557.450011149,2
731.950014639,3
916.450018329,4
1094.650021893,5
1306.700026134,6
1487.350029747,7
1641.850032837,8
1831.900036638,9
2017.950040359,10
2230.050044601,11
2413.550048271,12
2612.100052242,13
2823.100056462,14
3007.700060154,15
3188.650063773,16
3374.650067493,17
3583.700071674,18
3774.150075483,19
3988.700079774,20
4169.300083386,21
4325.850086517,22
4505.900090118,23
4688.900093778,24
4871.900097438,25
5053.400101068,26
5235.50010471,27
5417.50010835,28
5571.450111429,29
