Time,data
1147.450022949,1
1164.50002329,2
1337.900026758,3
1691.750033835,4
2369.150047383,5
2388.00004776,6
2586.200051724,7
2652.950053059,8
2810.250056205,9
3005.100060102,10
3335.900066718,11
3375.050067501,12
3518.650070373,13
3553.900071078,14
3572.800071456,15
3750.700075014,16
3794.550075891,17
3931.800078636,18
3967.300079346,19
3987.100079742,20
4338.400086768,21
4382.50008765,22
4563.100091262,23
4732.250094645,24
4772.400095448,25
4916.00009832,26
4951.350099027,27
4970.250099405,28
5146.300102926,29
5181.550103631,30
5202.050104041,31
5357.100107142,32
5392.750107855,33
