Time,data
91.650001833,1
106.50000213,2
120.50000241,3
145.900002918,4
160.50000321,5
174.600003492,6
200.250004005,7
215.100004302,8
228.950004579,9
254.100005082,10
268.900005378,11
282.850005657,12
307.600006152,13
322.400006448,14
336.50000673,15
361.850007237,16
376.650007533,17
390.700007814,18
416.450008329,19
431.100008622,20
445.050008901,21
470.50000941,22
485.400009708,23
499.250009985,24
524.300010486,25
539.100010782,26
553.00001106,27
578.600011572,28
593.400011868,29
607.400012148,30
633.250012665,31
648.00001296,32
662.00001324,33
687.100013742,34
702.100014042,35
716.00001432,36
741.200014824,37
756.00001512,38
769.800015396,39
795.100015902,40
809.850016197,41
823.700016474,42
848.800016976,43
863.50001727,44
877.550017551,45
902.950018059,46
917.850018357,47
931.800018636,48
957.50001915,49
972.100019442,50
986.100019722,51
1011.800020236,52
1026.400020528,53
1040.400020808,54
1065.850021317,55
1080.700021614,56
1094.550021891,57
1119.600022392,58
1134.600022692,59
1148.50002297,60
1173.800023476,61
1188.50002377,62
1202.400024048,63
1227.700024554,64
1242.600024852,65
1256.550025131,66
1281.750025635,67
1296.700025934,68
1310.600026212,69
1335.700026714,70
1350.400027008,71
1364.300027286,72
1389.550027791,73
1404.600028092,74
1418.650028373,75
1444.100028882,76
1458.800029176,77
1472.800029456,78
1497.800029956,79
1512.800030256,80
1526.750030535,81
1551.850031037,82
1566.650031333,83
1580.50003161,84
1606.300032126,85
1621.200032424,86
1635.150032703,87
1660.550033211,88
1675.400033508,89
1689.400033788,90
