Time,data
1612096623.065652,0
1612096642.2482598,1
1612096656.7146385,2
1612096671.1974409,3
1612096686.2144485,4
1612096700.1866126,5
1612096715.1913397,6
1612096729.1728525,7
1612096743.6648302,8
1612096758.3488913,9
1612096772.8579125,10
1612096787.3782127,11
1612096801.8476458,12
1612096816.3285513,13
1612096830.8359847,14
1612096845.335777,15
1612096860.3413374,16
1612096874.3046682,17
1612096889.3047614,18
1612096903.2620142,19
1612096917.7597044,20
1612096932.281966,21
1612096946.7587464,22
1612096961.2634926,23
1612096976.2700734,24
1612096990.2299275,25
1612097004.7511988,26
1612097019.2523108,27
1612097033.7409644,28
1612097048.2494516,29
