Time,data
1612094599.4536207,0
1612094624.2874777,1
1612094641.4379654,2
1612094659.1136467,3
1612094675.7510786,4
1612094692.9257426,5
1612094710.1156275,6
1612094727.4381893,7
1612094744.5915883,8
1612094762.3259661,9
1612094779.4673069,10
1612094796.2639136,11
1612094813.9286046,12
1612094830.7420404,13
1612094847.889067,14
1612094865.2131698,15
1612094882.3811526,16
1612094899.5445688,17
1612094917.2216573,18
1612094934.0169675,19
1612094951.6879017,20
1612094968.9912548,21
1612094985.784266,22
1612095002.9492755,23
1612095020.2652516,24
1612095037.6148927,25
1612095054.951281,26
1612095072.7854702,27
1612095089.5818634,28
1612095106.9193096,29
