Time,data
1614520097.0827844,0
1614520132.1173363,1
1614520166.484477,2
1614520201.030477,3
1614520235.8886087,4
1614520270.7401602,5
1614520305.2273464,6
1614520339.8822014,7
1614520374.2207592,8
1614520409.2479832,9
1614520443.2538478,10
1614520478.4255896,11
1614520513.5907695,12
1614520548.915017,13
1614520583.4275274,14
1614520618.929576,15
1614520653.940956,16
1614520688.937106,17
1614520722.7450056,18
1614520757.273859,19
1614520791.4327655,20
1614520826.782061,21
1614520861.3012857,22
1614520896.2948937,23
1614520942.631131,24
1614520977.29201,25
1614521011.9619608,26
1614521046.617892,27
1614521080.9538736,28
1614521115.1311064,29
