Time,data
1614516636.1481469,1
1614516647.4000793,2
1614516658.2086802,3
1614516670.3961916,4
1614516692.9602413,5
1614516712.9486713,6
1614516736.0755706,7
1614516755.076341,8
1614516775.7839727,9
1614516781.5640619,10
1614516793.9001136,11
1614516829.724202,12
1614516841.7755268,13
1614516864.128551,14
1614516884.599913,15
1614516899.5107877,16
1614516903.8000584,17
1614516907.388182,18
1614516925.8681574,19
1614516965.6442366,20
1614516973.22437,21
1614517012.6175237,22
1614517017.2093418,23
1614517064.9502587,24
1614517090.485664,25
1614517126.2199914,26
1614517147.372188,27
1614517151.4186532,28
1614517162.612317,29
1614517211.4598677,30
1614517218.6441786,31
1614517258.0281003,32
1614517272.904123,33
1614517281.008395,34
1614517299.9425726,35
1614517319.972013,36
1614517327.4641426,37
1614517346.3001268,38
1614517366.6362474,39
1614517370.681246,40
1614517382.1442227,41
1614517386.0282075,42
1614517416.6857293,43
1614517436.8963513,44
1614517440.8201473,45
1614517463.5280955,46
1614517483.796103,47
1614517487.6792767,48
1614517507.0002196,49
1614517546.2838821,50
1614517561.272095,51
1614517569.284928,52
1614517608.2239435,53
1614517612.0881608,54
1614517640.5509899,55
1614517696.1403985,56
1614517700.1361856,57
1614517711.4521027,58
1614517715.4000597,59
1614517731.088072,60
1614517754.0418572,61
1614517774.3598068,62
1614517778.0920894,63
1614517780.9564042,64
1614517798.6173766,65
1614517816.375977,66
1614517836.620114,67
1614517840.252554,68
1614517843.3320544,69
1614517855.2750812,70
1614517877.9561255,71
1614517907.1279268,72
1614517927.5720985,73
1614517931.5319614,74
1614517943.6963654,75
1614517949.1176288,76
1614517988.0124657,77
1614518002.7881706,78
1614518011.0417552,79
1614518030.228213,80
1614518050.4847903,81
1614518054.474782,82
1614518065.9524825,83
1614518081.3087697,84
1614518085.0443635,85
1614518088.1207273,86
1614518117.1884727,87
1614518137.396,88
1614518152.4917946,89
1614518156.6532736,90
1614518207.4745362,91
1614518211.5416663,92
1614518222.9281392,93
1614518226.908943,94
1614518238.8084674,95
1614518246.0960898,96
1614518265.099996,97
1614518285.3832889,98
1614518300.7503862,99
1614518308.4200711,100
1614518347.4684258,101
1614518351.4416306,102
1614518379.4599307,103
1614518399.896205,104
1614518403.7746892,105
1614518422.9209638,106
