Time,data
96.950001939,1
178.100003562,2
261.200005224,3
343.300006866,4
427.900008558,5
510.50001021,6
593.200011864,7
673.850013477,8
757.050015141,9
841.250016825,10
921.450018429,11
1006.600020132,12
1090.250021805,13
1171.50002343,14
1250.400025008,15
1332.150026643,16
1413.400028268,17
1496.550029931,18
1579.200031584,19
1660.600033212,20
1742.350034847,21
1824.450036489,22
1905.650038113,23
1987.850039757,24
2072.050041441,25
2154.750043095,26
2238.300044766,27
2322.450046449,28
2402.100048042,29
