Time,data
35.50000071,1
108.250002165,2
157.800003156,3
229.400004588,4
284.850005697,5
401.900008038,6
474.550009491,7
525.350010507,8
653.450013069,9
765.750015315,10
879.100017582,11
950.400019008,12
1008.850020177,13
1119.250022385,14
1124.750022495,15
1278.150025563,16
1391.00002782,17
1503.250030065,18
1614.50003229,19
1679.350033587,20
1731.900034638,21
1841.700036834,22
1957.050039141,23
2020.200040404,24
2074.550041491,25
2186.150043723,26
2253.900045078,27
2366.50004733,28
2413.250048265,29
2527.800050556,30
2643.700052874,31
2757.600055152,32
2873.250057465,33
2989.700059794,34
3109.050062181,35
3222.700064454,36
3292.150065843,37
3338.700066774,38
3408.600068172,39
3460.450069209,40
