Time,data
22.250000445,0
148.100002962,1
327.400006548,2
457.600009152,3
581.550011631,4
753.50001507,5
917.800018356,6
1075.150021503,7
1249.750024995,8
1368.850027377,9
1505.900030118,10
1645.050032901,11
1763.300035266,12
1880.150037603,13
2029.400040588,14
2135.450042709,15
2297.150045943,16
3742.200074844,17
3878.100077562,18
4040.550080811,19
4205.700084114,20
4325.150086503,21
4446.600088932,22
4560.850091217,23
4672.800093456,24
4805.850096117,25
4941.950098839,26
5106.50010213,27
5230.950104619,28
5391.850107837,29
