Time,data
1614518564.8319771,0
1614518602.7889116,1
1614518637.948276,2
1614518671.7258239,3
1614518722.0693893,4
1614518760.2111342,5
1614518799.3755674,6
1614518853.055782,7
1614518893.538966,8
1614518935.557245,9
1614518970.0284898,10
1614519011.8480258,11
1614519057.8426652,12
1614519105.3398404,13
1614519139.303458,14
1614519174.3335633,15
1614519215.6473262,16
1614519258.7803898,17
1614519294.2827148,18
1614519334.1323907,19
1614519376.1311188,20
1614519420.640021,21
1614519454.9377363,22
1614519501.4471593,23
1614519543.09437,24
1614519590.440023,25
1614519625.596396,26
1614519661.4570334,27
1614519695.5384068,28
1614519730.3887057,29
