Time,data
110.200002204,1
211.950004239,2
311.950006239,3
413.950008279,4
517.400010348,5
615.850012317,6
736.900014738,7
834.350016687,8
945.450018909,9
1046.900020938,10
1165.950023319,11
1267.850025357,12
1366.200027324,13
1468.300029366,14
1606.200032124,15
1729.950034599,16
1851.400037028,17
1983.50003967,18
2106.750042135,19
2202.50004405,20
2309.00004618,21
2412.750048255,22
2526.300050526,23
2634.050052681,24
2747.850054957,25
2853.50005707,26
2977.300059546,27
3098.800061976,28
3213.300064266,29
