Time,data
300.300006006,1
373.800007476,2
447.350008947,3
520.400010408,4
594.200011884,5
668.700013374,6
741.250014825,7
815.100016302,8
889.200017784,9
962.800019256,10
1035.950020719,11
1108.950022179,12
1182.750023655,13
1255.700025114,14
1330.300026606,15
1402.300028046,16
1475.300029506,17
1548.350030967,18
1622.850032457,19
1695.850033917,20
1768.350035367,21
1841.300036826,22
1914.50003829,23
1989.450039789,24
2062.00004124,25
2135.550042711,26
2207.00004414,27
2282.600045652,28
2354.050047081,29
