Time,data
71.750001435,1
96.00000192,2
118.600002372,3
152.900003058,4
178.650003573,5
201.00000402,6
236.650004733,7
263.550005271,8
286.050005721,9
319.850006397,10
345.050006901,11
367.250007345,12
401.450008029,13
427.750008555,14
449.50000899,15
484.950009699,16
531.150010623,17
593.550011871,18
614.550012291,19
673.400013468,20
696.100013922,21
731.700014634,22
755.50001511,23
777.400015548,24
815.0000163,25
840.400016808,26
862.750017255,27
898.150017963,28
922.750018455,29
943.600018872,30
980.200019604,31
1003.100020062,32
1005.700020114,33
1027.50002055,34
1062.650021253,35
1088.900021778,36
1111.700022234,37
1150.400023008,38
1176.800023536,39
1198.050023961,40
1235.0000247,41
1259.350025187,42
1281.550025631,43
1317.050026341,44
1341.750026835,45
1364.350027287,46
1400.900028018,47
1427.600028552,48
1449.300028986,49
1507.650030153,50
1530.200030604,51
1564.150031283,52
1566.250031325,53
1591.200031824,54
1613.050032261,55
1692.950033859,56
1728.550034571,57
1753.800035076,58
1777.400035548,59
1837.050036741,60
1861.800037236,61
1897.700037954,62
1920.600038412,63
1922.900038458,64
1945.100038902,65
1981.350039627,66
2005.750040115,67
2028.300040566,68
2088.250041765,69
2110.950042219,70
2167.400043348,71
2169.800043396,72
2191.550043831,73
2251.600045032,74
2274.00004548,75
2307.400046148,76
2309.800046196,77
2356.700047134,78
2391.900047838,79
2394.550047891,80
2432.100048642,81
2453.050049061,82
2489.450049789,83
2514.100050282,84
2538.800050776,85
