Time,data
357.400007148,1
429.450008589,2
502.450010049,3
575.300011506,4
648.800012976,5
723.400014468,6
792.600015852,7
868.350017367,8
942.950018859,9
1013.700020274,10
1086.150021723,11
1160.200023204,12
1232.900024658,13
1305.950026119,14
1378.950027579,15
1453.650029073,16
1525.900030518,17
1598.50003197,18
1671.50003343,19
1742.600034852,20
1815.550036311,21
1889.400037788,22
1961.250039225,23
2034.800040696,24
2107.250042145,25
2179.300043586,26
2252.050045041,27
2323.900046478,28
2397.850047957,29
