Time,data
147.100002942,1
166.900003338,2
191.950003839,3
208.100004162,4
233.100004662,5
249.350004987,6
274.300005486,7
290.550005811,8
315.550006311,9
331.750006635,10
356.750007135,11
372.950007459,12
398.050007961,13
414.200008284,14
439.100008782,15
455.450009109,16
480.400009608,17
496.550009931,18
521.50001043,19
537.750010755,20
562.750011255,21
579.00001158,22
604.050012081,23
620.100012402,24
645.150012903,25
661.350013227,26
686.350013727,27
702.600014052,28
727.550014551,29
743.800014876,30
768.700015374,31
785.0000157,32
810.0000162,33
826.300016526,34
851.150017023,35
867.300017346,36
892.300017846,37
908.600018172,38
933.600018672,39
949.800018996,40
974.700019494,41
991.00001982,42
1510.650030213,43
1959.200039184,44
2108.300042166,45
2633.450052669,46
2709.800054196,47
2859.050057181,48
2935.250058705,49
