Time,data
91.400001828,1
169.250003385,2
246.600004932,3
324.400006488,4
400.600008012,5
478.400009568,6
556.300011126,7
635.150012703,8
713.950014279,9
792.100015842,10
873.850017477,11
950.400019008,12
1028.600020572,13
1103.250022065,14
1181.850023637,15
1257.050025141,16
1334.050026681,17
1410.250028205,18
1488.200029764,19
1567.050031341,20
1644.100032882,21
1721.450034429,22
1799.200035984,23
1876.050037521,24
1954.100039082,25
2032.350040647,26
2109.400042188,27
2188.550043771,28
2266.400045328,29
