Time,data
123.050002461,1
200.350004007,2
275.50000551,3
353.350007067,4
429.550008591,5
506.300010126,6
583.350011667,7
660.0000132,8
886.850017737,9
962.700019254,10
1037.950020759,11
1114.100022282,12
1190.250023805,13
1266.900025338,14
1421.850028437,15
1496.950029939,16
1573.150031463,17
1650.300033006,18
1726.00003452,19
1801.700036034,20
1879.950037599,21
1956.100039122,22
2031.350040627,23
2108.600042172,24
2185.750043715,25
2262.600045252,26
2338.400046768,27
