Time,data
10.900000218,0
128.450002569,1
242.950004859,2
361.450007229,3
477.450009549,4
595.450011909,5
710.450014209,6
827.400016548,7
942.800018856,8
1060.350021207,9
1176.300023526,10
1313.750026275,11
1449.750028995,12
1566.450031329,13
1681.950033639,14
1799.950035999,15
1915.450038309,16
2033.450040669,17
2149.450042989,18
2267.00004534,19
2381.900047638,20
2498.450049969,21
2614.050052281,22
2730.50005461,23
2849.550056991,24
2966.050059321,25
3081.200061624,26
3200.100064002,27
3314.50006629,28
3431.600068632,29
