Time,data
211.600004232,1
380.050007601,2
524.050010481,3
694.50001389,4
863.50001727,5
1032.450020649,6
1189.400023788,7
1356.300027126,8
1525.250030505,9
1695.400033908,10
1864.350037287,11
2032.850040657,12
2173.800043476,13
2367.800047356,14
2537.300050746,15
2682.850053657,16
2824.850056497,17
2967.850059357,18
3136.850062737,19
3302.800066056,20
3471.800069436,21
3640.800072816,22
3811.900076238,23
3978.800079576,24
4367.900087358,25
4603.300092066,26
5112.200102244,27
