Time,data
178.50000357,1
323.550006471,2
444.600008892,3
585.150011703,4
710.200014204,5
850.850017017,6
996.850019937,7
1122.800022456,8
1243.700024874,9
1361.900027238,10
1483.600029672,11
1605.50003211,12
1729.00003458,13
1847.950036959,14
1964.50003929,15
2088.700041774,16
2217.300044346,17
2357.400047148,18
2480.800049616,19
2603.750052075,20
2723.100054462,21
2854.850057097,22
2980.600059612,23
3098.350061967,24
3225.650064513,25
3355.050067101,26
3476.300069526,27
3607.600072152,28
3739.900074798,29
