Time,data
311.900006238,1
432.50000865,2
535.050010701,3
655.700013114,4
777.00001554,5
896.600017932,6
1016.550020331,7
1133.150022663,8
1250.650025013,9
1372.600027452,10
1492.050029841,11
1614.00003228,12
1736.00003472,13
1836.700036734,14
1957.550039151,15
2078.650041573,16
2199.550043991,17
2320.100046402,18
2441.100048822,19
2558.150051163,20
2679.150053583,21
2799.650055993,22
2921.100058422,23
3041.600060832,24
3159.00006318,25
3279.450065589,26
3399.900067998,27
3521.800070436,28
3637.250072745,29
