Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
107.850002157,1,107,700002154,map,10.79,6.25,0.0,0.0,0.0,0.0,1.0
213.850004277,2,213,350004267,map,15.34,4.0,0.0,0.0,0.0,0.0,1.0
304.850006097,3,304,700006094,map,19.52,2.79,0.0,0.0,0.0,0.0,1.0
317.850006357,4,317,700006354,map,23.0,1.0,0.0,0.0,0.0,0.0,1.0
331.350006627,5,331,250006625,map,4.96,8.51,0.0,0.0,0.0,0.0,1.0
331.850006637,6,331,750006635,map,0.17,10.59,0.0,0.0,0.0,0.0,1.0
332.350006647,7,332,250006645,map,0.17,10.59,0.0,0.0,0.0,0.0,1.0
332.850006657,8,332,750006655,map,0.17,10.59,0.0,0.0,0.0,0.0,1.0
333.350006667,9,333,200006664,map,0.17,10.59,0.0,0.0,0.0,0.0,1.0
333.850006677,10,333,500006670,map,0.17,10.59,0.0,0.0,0.0,0.0,1.0
340.850006817,11,340,400006808,map,4.96,8.51,0.0,0.0,0.0,0.0,1.0
375.850007517,12,375,400007508,map,10.79,6.25,0.0,0.0,0.0,0.0,1.0
413.850008277,13,413,400008268,map,15.34,4.0,0.0,0.0,0.0,0.0,1.0
481.850009637,14,481,400009628,map,19.52,2.79,0.0,0.0,0.0,0.0,1.0
494.350009887,15,494,200009884,map,23.0,1.0,0.0,0.0,0.0,0.0,1.0
508.350010167,16,508,300010166,map,0.17,10.59,0.0,0.0,0.0,0.0,1.0
508.850010177,17,508,800010176,map,0.17,10.59,0.0,0.0,0.0,0.0,1.0
509.350010187,18,509,300010186,map,0.17,10.59,0.0,0.0,0.0,0.0,1.0
509.850010197,19,509,650010193,map,0.17,10.59,0.0,0.0,0.0,0.0,1.0
510.350010207,20,510,200010204,map,0.17,10.59,0.0,0.0,0.0,0.0,1.0
517.350010347,21,517,100010342,map,4.96,8.51,0.0,0.0,0.0,0.0,1.0
552.350011047,22,551,850011037,map,10.79,6.25,0.0,0.0,0.0,0.0,1.0
589.350011787,23,588,950011779,map,15.34,4.0,0.0,0.0,0.0,0.0,1.0
624.350012487,24,624,12480,map,19.52,2.79,0.0,0.0,0.0,0.0,1.0
636.850012737,25,636,650012733,map,23.0,1.0,0.0,0.0,0.0,0.0,1.0
650.850013017,26,650,700013014,map,0.17,10.59,0.0,0.0,0.0,0.0,1.0
651.350013027,27,651,150013023,map,0.17,10.59,0.0,0.0,0.0,0.0,1.0
651.850013037,28,651,700013034,map,0.17,10.59,0.0,0.0,0.0,0.0,1.0
