Time,data
170.200003404,1
248.150004963,2
325.700006514,3
403.250008065,4
479.850009597,5
557.300011146,6
634.350012687,7
712.850014257,8
788.950015779,9
865.400017308,10
942.400018848,11
1019.900020398,12
1097.400021948,13
1174.400023488,14
1251.450025029,15
1329.900026598,16
1407.050028141,17
1483.50002967,18
1561.050031221,19
1637.600032752,20
1715.600034312,21
1793.550035871,22
1871.050037421,23
1950.600039012,24
2026.050040521,25
2103.100042062,26
2180.550043611,27
2258.150045163,28
2336.100046722,29
