Time,data
64.850001297,1
120.400002408,2
180.250003605,3
230.800004616,4
267.200005344,5
296.550005931,6
320.550006411,7
378.50000757,8
417.300008346,9
458.250009165,10
518.150010363,11
566.450011329,12
624.250012485,13
674.100013482,14
710.200014204,15
712.350014247,16
722.100014442,17
796.250015925,18
831.750016635,19
882.350017647,20
985.50001971,21
1044.00002088,22
1096.350021927,23
1153.150023063,24
1204.950024099,25
1262.350025247,26
1289.600025792,27
1340.800026816,28
1399.100027982,29
1433.050028661,30
1455.300029106,31
1558.850031177,32
1616.750032335,33
1678.350033567,34
1761.300035226,35
1820.600036412,36
1857.650037153,37
1880.800037616,38
1986.200039724,39
2092.600041852,40
2195.950043919,41
2253.600045072,42
2300.050046001,43
2303.850046077,44
2330.300046606,45
2366.800047336,46
2377.300047546,47
2417.400048348,48
2441.150048823,49
2544.850050897,50
2648.450052969,51
2751.800055036,52
2809.900056198,53
2859.550057191,54
2918.800058376,55
2966.900059338,56
3024.950060499,57
3079.400061588,58
3186.800063736,59
3245.0000649,60
3295.250065905,61
