Time,data
369.450007389,1
466.50000933,2
729.00001458,3
813.550016271,4
902.100018042,5
987.100019742,6
1172.650023453,7
1259.700025194,8
1346.650026933,9
1440.250028805,10
1627.250032545,11
1816.800036336,12
1894.350037887,13
1980.050039601,14
2068.150041363,15
2153.200043064,16
2239.250044785,17
2332.800046656,18
2417.800048356,19
2506.250050125,20
2726.650054533,21
2810.650056213,22
3077.200061544,23
3169.700063394,24
3259.200065184,25
3403.200068064,26
3519.150070383,27
3641.200072824,28
3755.650075113,29
