Time,data
132.00000264,1
206.800004136,2
282.050005641,3
356.50000713,4
431.450008629,5
508.200010164,6
583.950011679,7
656.700013134,8
731.950014639,9
809.450016189,10
885.600017712,11
959.250019185,12
1035.850020717,13
1109.900022198,14
1185.350023707,15
1260.250025205,16
1335.50002671,17
1410.650028213,18
1485.700029714,19
1560.650031213,20
1635.750032715,21
1711.550034231,22
1788.00003576,23
1861.750037235,24
1938.600038772,25
2012.200040244,26
2087.650041753,27
2163.550043271,28
2238.300044766,29
