Time,data
130.150002603,2
228.00000456,3
329.200006584,4
426.200008524,5
438.100008762,6
528.900010578,7
639.850012797,8
668.900013378,9
764.950015299,10
854.250017085,11
865.950017319,12
955.050019101,13
1053.400021068,14
1157.100023142,15
1254.50002509,16
1355.100027102,17
1365.700027314,18
1383.450027669,19
1393.350027867,20
1481.050029621,21
1502.800030056,22
1581.50003163,23
1679.600033592,24
1777.250035545,25
1874.700037494,26
1960.900039218,27
2050.50004101,28
2151.600043032,29
2239.950044799,30
2341.900046838,31
2442.300048846,32
2539.700050794,33
2628.900052578,34
2716.800054336,35
2823.00005646,36
2844.300056886,37
2917.150058343,38
3005.750060115,39
