Time,data
226.350004527,1
386.750007735,2
547.300010946,3
732.550014651,4
891.350017827,5
1080.600021612,6
1239.400024788,7
1402.850028057,8
1592.850031857,9
1750.000035,10
1909.350038187,11
2068.650041373,12
2256.150045123,13
2419.050048381,14
2578.650051573,15
2743.600054872,16
2905.050058101,17
3065.300061306,18
3224.350064487,19
3386.950067739,20
3546.300070926,21
3705.350074107,22
3882.350077647,23
4042.850080857,24
4200.250084005,25
4366.700087334,26
4544.300090886,27
4702.800094056,28
4882.400097648,29
