Time,data
74.400001488,1
107.400002148,2
258.400005168,3
415.750008315,4
577.00001154,5
637.200012744,6
761.00001522,7
920.300018406,8
982.600019652,9
1098.400021968,10
1106.150022123,11
1266.50002533,12
1327.950026559,13
1431.950028639,14
1495.450029909,15
1778.700035574,16
1938.300038766,17
2098.00004196,18
2160.200043204,19
2282.450045649,20
2286.600045732,21
2447.550048951,22
2507.600050152,23
2607.100052142,24
2668.100053362,25
2772.800055456,26
2933.200058664,27
2993.300059866,28
3094.50006189,29
3252.800065056,30
3312.100066242,31
3416.450068329,32
3574.850071497,33
3734.00007468,34
3911.750078235,35
4069.550081391,36
4130.250082605,37
4228.800084576,38
4288.400085768,39
4400.50008801,40
4407.900088158,41
4414.600088292,42
4471.800089436,43
4562.100091242,44
4731.100094622,45
4790.400095808,46
4912.450098249,47
4971.700099434,48
