Time,data
275.600005512,1
446.400008928,2
615.100012302,3
788.00001576,4
946.450018929,5
1120.0000224,6
1283.600025672,7
1482.100029642,8
1661.050033221,9
1825.150036503,10
1985.0000397,11
2149.100042982,12
2321.650046433,13
2497.450049949,14
2661.150053223,15
2832.200056644,16
2999.400059988,17
3157.900063158,18
3321.300066426,19
3484.100069682,20
3655.800073116,21
3820.450076409,22
3981.900079638,23
4152.300083046,24
4322.250086445,25
4496.200089924,26
4675.0000935,27
4847.800096956,28
5023.950100479,29
