Time,data
219.800004396,1
422.700008454,2
605.250012105,3
782.150015643,4
992.00001984,5
1150.000023,6
1310.400026208,7
1502.200030044,8
1666.550033331,9
1840.700036814,10
2023.600040472,11
2198.450043969,12
2423.600048472,13
2647.00005294,14
2841.400056828,15
3068.150061363,16
3222.750064455,17
3403.450068069,18
3568.950071379,19
3744.00007488,20
3908.550078171,21
4088.450081769,22
4271.200085424,23
4466.100089322,24
4662.00009324,25
4833.50009667,26
5024.100100482,27
5185.150103703,28
5362.300107246,29
