Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
19.950000399,3,6,120,map,9.0,0.0,0.0,0.0,0.0,1.0,0.0
83.850001677,5,83,800001676,map,9.0,0.0,0.0,0.0,0.0,1.0,0.0
83.950001679,6,83,900001678,map,9.0,0.0,0.0,0.0,0.0,1.0,0.0
130.950002619,7,130,900002618,map,9.0,0.0,0.0,0.0,0.0,1.0,0.0
131.050002621,8,131,2620,map,9.0,0.0,0.0,0.0,0.0,1.0,0.0
198.250003965,9,198,200003964,map,9.0,0.0,0.0,0.0,0.0,1.0,0.0
263.550005271,10,263,550005271,map,9.0,0.0,0.0,0.0,0.0,1.0,0.0
263.600005272,11,263,600005272,map,9.0,0.0,0.0,0.0,0.0,1.0,0.0
310.0000062,12,310,6200,map,9.0,0.0,0.0,0.0,0.0,1.0,0.0
310.150006203,13,310,100006202,map,9.0,0.0,0.0,0.0,0.0,1.0,0.0
380.700007614,14,380,700007614,map,9.0,0.0,0.0,0.0,0.0,1.0,0.0
380.800007616,15,380,800007616,map,9.0,0.0,0.0,0.0,0.0,1.0,0.0
430.250008605,16,430,200008604,map,9.0,0.0,0.0,0.0,0.0,1.0,0.0
430.350008607,17,430,350008607,map,9.0,0.0,0.0,0.0,0.0,1.0,0.0
478.250009565,18,478,250009565,map,9.0,0.0,0.0,0.0,0.0,1.0,0.0
549.350010987,19,549,300010986,map,9.0,0.0,0.0,0.0,0.0,1.0,0.0
619.700012394,20,619,700012394,map,9.0,0.0,0.0,0.0,0.0,1.0,0.0
619.850012397,21,619,800012396,map,9.0,0.0,0.0,0.0,0.0,1.0,0.0
668.150013363,22,668,100013362,map,9.0,0.0,0.0,0.0,0.0,1.0,0.0
668.200013364,23,668,200013364,map,9.0,0.0,0.0,0.0,0.0,1.0,0.0
