Time,data
56.400001128,1
87.050001741,2
113.450002269,3
143.150002863,4
166.050003321,5
551.900011038,6
573.250011465,7
752.400015048,8
928.900018578,9
1109.400022188,10
1707.200034144,11
1736.800034736,12
1762.800035256,13
1849.650036993,14
2043.150040863,15
2225.700044514,16
2408.100048162,17
2505.950050119,18
2534.300050686,19
2560.400051208,20
2650.400053008,21
2836.300056726,22
2860.600057212,23
3103.650062073,24
3382.900067658,25
3467.300069346,26
3502.400070048,27
3522.850070457,28
3672.300073446,29
3709.850074197,30
3731.00007462,31
3961.50007923,32
4118.200082364,33
4170.800083416,34
4268.200085364,35
4297.600085952,36
4323.850086477,37
4347.800086956,38
4411.200088224,39
4494.400089888,40
4523.50009047,41
4554.400091088,42
4577.900091558,43
4720.800094416,44
4749.00009498,45
4775.0000955,46
4944.200098884,47
4976.00009952,48
5003.600100072,49
5152.800103056,50
5181.800103636,51
5208.400104168,52
5231.300104626,53
5541.50011083,54
5569.300111386,55
5611.800112236,56
6007.200120144,57
6189.350123787,58
6361.150127223,59
6722.400134448,60
6806.400136128,61
6837.00013674,62
6863.100137262,63
7105.650142113,64
7443.350148867,65
7456.400149128,66
7624.400152488,67
7987.100159742,68
8168.700163374,69
8193.750163875,70
8374.550167491,71
8430.950168619,72
8626.200172524,73
8659.900173198,74
8682.400173648,75
8750.650175013,76
8821.750176435,77
9186.650183733,78
9214.00018428,79
9239.850184797,80
9409.300188186,81
9438.300188766,82
9464.850189297,83
9507.900190158,84
