Time,data
167.100003342,1
296.900005938,2
424.600008492,3
553.400011068,4
683.800013676,5
805.900016118,6
932.300018646,7
1056.700021134,8
1183.50002367,9
1311.300026226,10
1437.600028752,11
1567.50003135,12
1690.900033818,13
1835.350036707,14
1957.400039148,15
2085.750041715,16
2212.650044253,17
2337.900046758,18
2466.700049334,19
2594.00005188,20
2723.250054465,21
2848.450056969,22
2971.950059439,23
3098.800061976,24
3228.50006457,25
3372.00006744,26
3501.850070037,27
3629.650072593,28
3772.900075458,29
