Time,data
189.900003798,1
381.100007622,2
567.650011353,3
733.750014675,4
921.850018437,5
1085.850021717,6
1255.900025118,7
1421.950028439,8
1608.600032172,9
1791.650035833,10
1981.750039635,11
2168.050043361,12
2355.100047102,13
2545.100050902,14
2724.550054491,15
2911.600058232,16
3101.050062021,17
3297.100065942,18
3482.100069642,19
3670.250073405,20
3855.150077103,21
4042.900080858,22
4231.250084625,23
4414.450088289,24
4597.250091945,25
4798.850095977,26
4987.350099747,27
5171.900103438,28
5336.950106739,29
