Time,data
67.950001359,1
121.400002428,2
175.0000035,3
228.900004578,4
282.300005646,5
336.050006721,6
389.200007784,7
443.200008864,8
496.700009934,9
550.300011006,10
603.900012078,11
657.450013149,12
711.00001422,13
764.300015286,14
818.00001636,15
871.800017436,16
925.600018512,17
978.750019575,18
1032.350020647,19
1085.900021718,20
1139.400022788,21
1193.050023861,22
1246.50002493,23
1300.100026002,24
1353.50002707,25
1406.950028139,26
1460.400029208,27
1513.800030276,28
1567.400031348,29
1620.950032419,30
