Time,data
130.450002609,1
176.550003531,2
221.100004422,3
264.00000528,4
310.0000062,5
352.950007059,6
397.450007949,7
443.450008869,8
486.400009728,9
532.450010649,10
575.400011508,11
619.850012397,12
665.950013319,13
708.750014175,14
753.250015065,15
797.800015956,16
842.250016845,17
888.300017766,18
931.200018624,19
977.200019544,20
1020.050020401,21
1064.550021291,22
1109.050022181,23
1153.550023071,24
1198.050023961,25
1242.50002485,26
1287.100025742,27
1331.550026631,28
1376.050027521,29
