Time,data
98.700001974,3
109.650002193,4
150.350003007,5
161.50000323,6
202.150004043,7
213.100004262,8
254.100005082,9
265.100005302,10
306.00000612,11
317.100006342,12
357.800007156,13
368.900007378,14
410.200008204,15
421.050008421,16
462.250009245,17
473.400009468,18
514.200010284,19
525.300010506,20
566.200011324,21
577.300011546,22
618.050012361,23
629.200012584,24
669.950013399,25
680.900013618,26
721.850014437,27
732.850014657,28
773.400015468,29
784.50001569,30
825.250016505,31
836.200016724,32
876.950017539,33
887.950017759,34
928.900018578,35
940.100018802,36
980.800019616,37
991.950019839,38
1033.200020664,39
1044.00002088,40
1085.150021703,41
1096.150021923,42
1136.900022738,43
1148.050022961,44
1188.800023776,45
1199.900023998,46
1241.300024826,47
1252.100025042,48
1293.050025861,49
1304.150026083,50
1345.50002691,51
1356.300027126,52
1397.050027941,53
1408.100028162,54
1449.100028982,55
1460.050029201,56
1501.100030022,57
1512.300030246,58
1553.00003106,59
1563.950031279,60
