Time,data
1612095338.0049682,0
1612095371.5739243,1
1612095389.068421,2
1612095405.7388642,3
1612095422.9029894,4
1612095440.5874064,5
1612095457.7391047,6
1612095474.3853238,7
1612095491.555128,8
1612095509.229114,9
1612095525.8641634,10
1612095543.012054,11
1612095560.020946,12
1612095577.6899538,13
1612095594.3111396,14
1612095611.9860008,15
1612095628.6168666,16
1612095645.7842798,17
1612095662.9518428,18
1612095680.1151996,19
1612095697.283235,20
1612095714.2805703,21
1612095731.9473395,22
1612095749.089448,23
1612095765.7210991,24
1612095783.4007854,25
1612095800.5562308,26
1612095817.1890998,27
1612095834.3429494,28
1612095852.0282598,29
