Time,data
187.750003755,1
263.400005268,2
339.50000679,3
416.100008322,4
492.00000984,5
594.700011894,6
671.200013424,7
747.250014945,8
823.200016464,9
899.100017982,10
977.250019545,11
1058.300021166,12
1134.200022684,13
1243.300024866,14
1319.400026388,15
1394.350027887,16
1470.50002941,17
1548.550030971,18
1626.850032537,19
1703.050034061,20
1780.150035603,21
1858.750037175,22
1935.250038705,23
1948.450038969,24
2042.300040846,25
2122.200042444,26
2198.100043962,27
2274.300045486,28
2350.850047017,29
2426.700048534,30
2502.600050052,31
