Time,data
129.350002587,1
216.850004337,2
294.150005883,3
372.800007456,4
713.100014262,5
785.750015715,6
868.600017372,7
974.650019493,8
1050.550021011,9
1125.800022516,10
1258.400025168,11
1350.850027017,12
1430.900028618,13
1507.050030141,14
1602.050032041,15
1676.550033531,16
1754.150035083,17
1832.800036656,18
1925.900038518,19
2001.050040021,20
2077.250041545,21
2152.600043052,22
2245.300044906,23
2321.700046434,24
2404.300048086,25
2485.050049701,26
2563.800051276,27
2639.850052797,28
2717.600054352,29
