Time,data
93.100001862,1
170.950003419,2
247.050004941,3
323.250006465,4
400.050008001,5
478.250009565,6
554.50001109,7
630.750012615,8
706.450014129,9
782.350015647,10
858.850017177,11
933.700018674,12
1009.850020197,13
1084.550021691,14
1161.900023238,15
1237.450024749,16
1314.150026283,17
1391.650027833,18
1468.400029368,19
1543.900030878,20
1620.850032417,21
1696.850033937,22
1772.550035451,23
1848.850036977,24
1927.550038551,25
2003.150040063,26
2079.650041593,27
2156.050043121,28
2232.00004464,29
2308.400046168,30
