Time,data
1614518657.3878686,1
1614518678.963964,2
1614518697.7920313,3
1614518699.8766167,4
1614518743.3761296,5
1614518764.6719506,6
1614518782.643106,7
1614518785.3282068,8
1614518827.6321774,9
1614518829.999913,10
1614518874.8211756,11
1614518877.2642815,12
1614518920.363975,13
1614518922.18803,14
1614518929.060783,15
1614518939.2208824,16
1614518977.7960525,17
1614518980.043189,18
1614519025.604011,19
1614519027.9600797,20
1614519053.7003047,21
1614519073.5241375,22
1614519076.1224263,23
1614519102.7640455,24
1614519122.0440075,25
1614519124.2282927,26
1614519150.900051,27
1614519169.93231,28
1614519172.4585953,29
1614519217.5212457,30
1614519220.2002308,31
1614519263.9567187,32
1614519266.5799773,33
1614519292.3961723,34
1614519311.660296,35
1614519313.777534,36
1614519340.7546315,37
1614519359.354132,38
1614519361.8780198,39
1614519386.636369,40
1614519404.880197,41
1614519407.2560146,42
1614519450.0039234,43
1614519470.9960787,44
1614519490.6962183,45
1614519492.9560955,46
1614519509.122807,47
1614519519.9322062,48
1614519537.788016,49
1614519540.088314,50
1614519586.245415,51
1614519613.7119684,52
1614519631.912469,53
1614519634.3212051,54
1614519678.3999898,55
1614519680.5600002,56
1614519726.95213,57
1614519729.377296,58
1614519773.032088,59
1614519775.252087,60
1614519819.5680497,61
1614519821.6159706,62
1614519866.6454134,63
1614519869.6800969,64
1614519910.7454832,65
1614519913.3959537,66
1614519957.4127715,67
1614519959.7561097,68
1614519986.2960188,69
1614520006.0542388,70
1614520008.2728145,71
