Time,data
1614516633.2106814,0
1614516689.396682,1
1614516751.5927181,2
1614516806.1516597,3
1614516860.672528,4
1614516942.3629248,5
1614516989.5739558,6
1614517041.2810879,7
1614517086.9598122,8
1614517123.1835039,9
1614517187.3462687,10
1614517235.0483212,11
1614517296.420739,12
1614517342.7846456,13
1614517413.149893,14
1614517460.5129583,15
1614517522.8804255,16
1614517584.7122686,17
1614517637.0488565,18
1614517672.5464137,19
1614517750.5357282,20
1614517812.8650491,21
1614517903.5197113,22
1614517964.3562167,23
1614518026.7068815,24
1614518113.7077274,25
1614518183.8655608,26
1614518261.5340362,27
1614518323.7245345,28
1614518376.4156651,29
