Time,data
150.200003004,1
254.350005087,2
258.250005165,3
330.550006611,4
377.600007552,5
383.850007677,6
411.100008222,7
487.350009747,8
491.050009821,9
596.850011937,10
709.250014185,11
712.400014248,12
821.650016433,13
853.50001707,14
900.000018,15
950.450019009,16
1048.050020961,17
1159.750023195,18
1236.350024727,19
1325.800026516,20
1342.950026859,21
1463.800029276,22
1506.850030137,23
1590.400031808,24
1624.100032482,25
1710.050034201,26
1719.200034384,27
1798.750035975,28
1846.550036931,29
1885.850037717,30
1983.950039679,31
2011.900040238,32
2107.250042145,33
2212.750044255,34
2459.650049193,35
2568.200051364,36
2606.800052136,37
2679.550053591,38
2690.700053814,39
2742.300054846,40
2863.350057267,41
2900.300058006,42
2984.100059682,43
2991.800059836,44
3055.800061116,45
3102.00006204,46
3172.900063458,47
3291.900065838,48
3343.900066878,49
3380.700067614,50
3423.450068469,51
3471.850069437,52
3531.800070636,53
3550.700071014,54
3599.600071992,55
3633.600072672,56
3696.750073935,57
