Time,data
23.050000461,0
145.850002917,1
273.250005465,2
389.900007798,3
513.600010272,4
641.850012837,5
755.550015111,6
867.250017345,7
997.050019941,8
1109.200022184,9
1266.550025331,10
1379.300027586,11
1491.550029831,12
1604.250032085,13
1720.0000344,14
1830.200036604,15
1945.150038903,16
2063.00004126,17
2174.450043489,18
2290.650045813,19
2401.950048039,20
2516.200050324,21
2631.900052638,22
2746.200054924,23
2861.450057229,24
2978.150059563,25
3097.50006195,26
3211.200064224,27
3327.00006654,28
3448.650068973,29
