Time,data
302.050006041,3
395.350007907,4
490.750009815,5
582.650011653,6
678.600013572,7
774.50001549,8
870.400017408,9
966.350019327,10
1061.700021234,11
1157.100023142,12
1253.950025079,13
1347.350026947,14
1441.800028836,15
1535.700030714,16
1630.550032611,17
1723.350034467,18
1819.750036395,19
1914.200038284,20
2007.550040151,21
2101.850042037,22
2194.200043884,23
2290.0000458,24
2385.450047709,25
2482.400049648,26
2576.300051526,27
2669.100053382,28
2766.50005533,29
