Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
51.750001035,1,51,400001028,map,11.054033685338293,7.392494448255304,0.0,0.0,0.0,0.0,0.0
54.750001095,2,54,450001089,map,11.86969855189353,7.015093115680614,0.0,0.0,0.0,0.0,0.0
57.750001155,3,57,550001151,map,12.707546990792293,6.615034903459769,0.0,0.0,0.0,0.0,0.0
60.750001215,4,60,600001212,map,13.494185177658208,6.177854312843854,0.0,0.0,0.0,0.0,0.0
63.750001275,5,63,650001273,map,14.280986194893835,5.740994770067476,0.0,0.0,0.0,0.0,0.0
66.750001335,6,66,700001334,map,15.09423847934731,5.289951087667924,0.0,0.0,0.0,0.0,0.0
69.750001395,7,69,750001395,map,15.907759827355028,4.839462059615414,0.0,0.0,0.0,0.0,0.0
73.250001465,8,72,800001456,map,16.695353645782,4.404083249356948,0.0,0.0,0.0,0.0,0.0
76.250001525,9,75,850001517,map,16.418238624255636,4.542893204889308,0.0,0.0,0.0,0.0,0.0
79.250001585,10,78,900001578,map,18.300384361795903,3.5259971608282714,0.0,0.0,0.0,0.0,0.0
82.250001645,11,81,950001639,map,19.107467931532945,3.132850050256619,0.0,0.0,0.0,0.0,0.0
85.250001705,12,85,1700,map,19.96363969001242,2.705936283082972,0.0,0.0,0.0,0.0,0.0
88.250001765,13,88,50001761,map,20.754866911789836,2.2989600923903724,0.0,0.0,0.0,0.0,0.0
91.250001825,14,91,100001822,map,21.54755679845529,1.8719603333143762,0.0,0.0,0.0,0.0,0.0
94.250001885,15,94,150001883,map,22.3464374627322,1.4126886878512275,0.0,0.0,0.0,0.0,0.0
97.200001944,16,97,200001944,map,22.998901477722537,1.0008346413840097,0.0,0.0,0.0,0.0,0.0
100.250002005,17,100,200002004,map,22.998914120573282,1.0008893809230615,0.0,0.0,0.0,0.0,0.0
103.250002065,18,103,200002064,map,22.997196398073346,1.002338237475634,0.0,0.0,0.0,0.0,0.0
106.250002125,19,106,200002124,map,22.999762910659676,1.0003004103448794,0.0,0.0,0.0,0.0,0.0
109.750002195,20,109,250002185,map,22.999185992788558,1.0010122750279424,0.0,0.0,0.0,0.0,0.0
112.750002255,21,112,500002250,map,1.9444532042460725,9.84892919531636,0.0,0.0,0.0,0.0,0.0
115.750002315,22,115,550002311,map,2.7449547008539876,9.477760591665882,0.0,0.0,0.0,0.0,0.0
118.750002375,23,118,600002372,map,3.6269788194733956,9.173152590461545,0.0,0.0,0.0,0.0,0.0
121.750002435,24,121,650002433,map,3.367177938303813,9.364502611908438,0.0,0.0,0.0,0.0,0.0
124.750002495,25,124,700002494,map,4.905806642841032,9.372310509891474,0.0,0.0,0.0,0.0,0.0
128.250002565,26,127,750002555,map,4.781355358048257,10.113670357075728,0.0,0.0,0.0,0.0,0.0
131.250002625,27,130,850002617,map,5.6200485673808664,10.009395927456488,0.0,0.0,0.0,0.0,0.0
134.250002685,28,133,850002677,map,6.435128931801893,9.614032085512747,0.0,0.0,0.0,0.0,0.0
137.250002745,29,136,900002738,map,7.244651802263275,9.221173505135987,0.0,0.0,0.0,0.0,0.0
140.250002805,30,139,950002799,map,8.080888329783892,8.814729832298092,0.0,0.0,0.0,0.0,0.0
143.250002865,31,143,2860,map,8.916802100421918,8.40772265058562,0.0,0.0,0.0,0.0,0.0
146.250002925,32,146,50002921,map,9.693153766859378,8.029319680933567,0.0,0.0,0.0,0.0,0.0
149.250002985,33,149,100002982,map,10.560574648261978,7.604865741941334,0.0,0.0,0.0,0.0,0.0
152.250003045,34,152,200003044,map,11.368341592689767,7.208863025253719,0.0,0.0,0.0,0.0,0.0
155.750003115,35,155,250003105,map,12.202491442600788,6.798687100368671,0.0,0.0,0.0,0.0,0.0
158.750003175,36,158,300003166,map,13.030719129092503,6.390332815823455,0.0,0.0,0.0,0.0,0.0
161.750003235,37,161,400003228,map,13.814987517424585,6.001319651849975,0.0,0.0,0.0,0.0,0.0
164.750003295,38,164,500003290,map,14.646805200505009,5.58710106158734,0.0,0.0,0.0,0.0,0.0
167.750003355,39,167,600003352,map,15.472254849439024,5.173863532443615,0.0,0.0,0.0,0.0,0.0
170.750003415,40,170,700003414,map,16.333432222199942,4.738808170089722,0.0,0.0,0.0,0.0,0.0
174.250003485,41,173,750003475,map,17.160800405551065,4.317148221186059,0.0,0.0,0.0,0.0,0.0
177.250003545,42,176,800003536,map,17.954128827512765,3.908624281745021,0.0,0.0,0.0,0.0,0.0
180.250003605,43,179,850003597,map,18.74975756162074,3.4924356637512597,0.0,0.0,0.0,0.0,0.0
183.250003665,44,182,900003658,map,19.567884073139208,3.0562160341466553,0.0,0.0,0.0,0.0,0.0
186.250003725,45,186,3720,map,20.385344651664184,2.608217396354001,0.0,0.0,0.0,0.0,0.0
189.250003785,46,189,3780,map,21.163661688130055,2.1663643111995627,0.0,0.0,0.0,0.0,0.0
192.250003845,47,192,50003841,map,21.930263152946623,1.7083976844871562,0.0,0.0,0.0,0.0,0.0
195.250003905,48,195,100003902,map,22.702521030086164,1.209422482067393,0.0,0.0,0.0,0.0,0.0
198.250003965,49,198,150003963,map,22.999636341012273,1.0014836005772971,0.0,0.0,0.0,0.0,0.0
201.250004025,50,201,200004024,map,22.999468564754363,1.0016579386375488,0.0,0.0,0.0,0.0,0.0
204.750004095,51,204,250004085,map,22.997479736267703,1.0035910899543625,0.0,0.0,0.0,0.0,0.0
207.750004155,52,207,300004146,map,22.9988625242355,1.0026052828715382,0.0,0.0,0.0,0.0,0.0
210.750004215,53,210,350004207,map,1.4593295186604704,10.170907793367459,0.0,0.0,0.0,0.0,0.0
