Time,data
135.300002706,1
256.200005124,2
416.850008337,3
537.50001075,4
568.50001137,5
572.900011458,6
773.850015477,7
807.450016149,8
973.50001947,9
978.900019578,10
1078.100021562,11
1197.50002395,12
1226.100024522,13
1568.600031372,14
1574.200031484,15
2096.100041922,16
2270.150045403,17
2340.700046814,18
2508.050050161,19
2720.600054412,20
2727.350054547,21
2812.800056256,22
3156.300063126,23
3188.100063762,24
3291.700065834,25
3315.800066316,26
3427.950068559,27
3454.300069086,28
3548.50007097,29
