Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
10.850000217,1,10,800000216,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
11.350000227,2,11,250000225,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
11.850000237,3,11,700000234,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
12.350000247,4,12,100000242,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
17.350000347,5,17,340,map,3.0,10.7,0.0,0.0,0.0,0.0,1.0
36.350000727,6,36,100000722,map,8.78,9.78,0.0,0.0,0.0,0.0,1.0
55.850001117,7,55,450001109,map,12.2,9.1,0.0,0.0,0.0,0.0,1.0
69.350001387,8,69,50001381,map,16.2,8.3,0.0,0.0,0.0,0.0,1.0
83.850001677,9,83,450001669,map,18.42,6.96,0.0,0.0,0.0,0.0,1.0
100.350002007,10,100,100002002,map,20.77,5.47,0.0,0.0,0.0,0.0,1.0
107.850002157,11,107,450002149,map,23.0,0.95,0.0,0.0,0.0,0.0,1.0
125.350002507,12,125,300002506,map,3.0,10.7,0.0,0.0,0.0,0.0,1.0
125.85000251700001,13,125,750002515,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
126.350002527,14,126,200002524,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
126.850002537,15,126,700002534,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
127.350002547,16,127,200002544,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
127.850002557,17,127,500002550,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
132.350002647,18,131,850002637,map,3.0,10.7,0.0,0.0,0.0,0.0,1.0
151.350003027,19,151,200003024,map,8.78,9.78,0.0,0.0,0.0,0.0,1.0
170.850003417,20,170,400003408,map,12.2,9.1,0.0,0.0,0.0,0.0,1.0
184.850003697,21,184,500003690,map,16.2,8.3,0.0,0.0,0.0,0.0,1.0
199.350003987,22,198,900003978,map,18.42,6.96,0.0,0.0,0.0,0.0,1.0
216.850004337,23,216,350004327,map,20.77,5.47,0.0,0.0,0.0,0.0,1.0
223.850004477,24,223,600004472,map,23.0,0.95,0.0,0.0,0.0,0.0,1.0
241.850004837,25,241,700004834,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
242.350004847,26,242,300004846,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
242.850004857,27,242,700004854,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
243.350004867,28,243,200004864,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
243.850004877,29,243,500004870,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
248.350004967,30,247,900004958,map,3.0,10.7,0.0,0.0,0.0,0.0,1.0
267.350005347,31,267,150005343,map,8.78,9.78,0.0,0.0,0.0,0.0,1.0
286.850005737,32,286,400005728,map,12.2,9.1,0.0,0.0,0.0,0.0,1.0
299.850005997,33,299,700005994,map,16.2,8.3,0.0,0.0,0.0,0.0,1.0
314.350006287,34,314,6280,map,18.42,6.96,0.0,0.0,0.0,0.0,1.0
333.350006667,35,332,900006658,map,20.77,5.47,0.0,0.0,0.0,0.0,1.0
340.350006807,36,340,250006805,map,23.0,0.95,0.0,0.0,0.0,0.0,1.0
358.350007167,37,358,200007164,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
358.850007177,38,358,800007176,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
359.350007187,39,359,300007186,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
359.850007197,40,359,750007195,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
360.350007207,41,360,200007204,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
360.850007217,42,360,500007210,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
365.350007307,43,364,900007298,map,3.0,10.7,0.0,0.0,0.0,0.0,1.0
384.350007687,44,384,200007684,map,8.78,9.78,0.0,0.0,0.0,0.0,1.0
403.850008077,45,403,450008069,map,12.2,9.1,0.0,0.0,0.0,0.0,1.0
418.850008377,46,418,600008372,map,16.2,8.3,0.0,0.0,0.0,0.0,1.0
433.350008667,47,433,50008661,map,18.42,6.96,0.0,0.0,0.0,0.0,1.0
450.850009017,48,450,750009015,map,20.77,5.47,0.0,0.0,0.0,0.0,1.0
458.350009167,49,457,950009159,map,23.0,0.95,0.0,0.0,0.0,0.0,1.0
476.350009527,50,476,250009525,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
476.850009537,51,476,700009534,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
477.350009547,52,477,200009544,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
477.850009557,53,477,700009554,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
478.350009567,54,477,900009558,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
482.350009647,55,482,300009646,map,3.0,10.7,0.0,0.0,0.0,0.0,1.0
501.850010037,56,501,700010034,map,8.78,9.78,0.0,0.0,0.0,0.0,1.0
521.350010427,57,520,950010419,map,12.2,9.1,0.0,0.0,0.0,0.0,1.0
535.350010707,58,534,950010699,map,16.2,8.3,0.0,0.0,0.0,0.0,1.0
549.850010997,59,549,400010988,map,18.42,6.96,0.0,0.0,0.0,0.0,1.0
566.850011337,60,566,800011336,map,20.77,5.47,0.0,0.0,0.0,0.0,1.0
574.350011487,61,574,150011483,map,23.0,0.95,0.0,0.0,0.0,0.0,1.0
592.350011847,62,592,300011846,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
592.850011857,63,592,750011855,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
593.350011867,64,593,250011865,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
593.850011877,65,593,800011876,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
594.350011887,66,594,300011886,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
594.850011897,67,594,400011888,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
599.350011987,68,598,900011978,map,3.0,10.7,0.0,0.0,0.0,0.0,1.0
618.350012367,69,618,300012366,map,8.78,9.78,0.0,0.0,0.0,0.0,1.0
637.850012757,70,637,500012750,map,12.2,9.1,0.0,0.0,0.0,0.0,1.0
651.350013027,71,651,100013022,map,16.2,8.3,0.0,0.0,0.0,0.0,1.0
665.350013307,72,665,300013306,map,18.42,6.96,0.0,0.0,0.0,0.0,1.0
683.350013667,73,683,200013664,map,20.77,5.47,0.0,0.0,0.0,0.0,1.0
690.850013817,74,690,500013810,map,23.0,0.95,0.0,0.0,0.0,0.0,1.0
708.850014177,75,708,800014176,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
709.350014187,76,709,200014184,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
709.850014197,77,709,800014196,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
710.350014207,78,710,250014205,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
710.850014217,79,710,700014214,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
711.350014227,80,711,14220,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
715.850014317,81,715,500014310,map,3.0,10.7,0.0,0.0,0.0,0.0,1.0
735.350014707,82,735,14700,map,8.78,9.78,0.0,0.0,0.0,0.0,1.0
754.350015087,83,754,250015085,map,12.2,9.1,0.0,0.0,0.0,0.0,1.0
768.350015367,84,768,15360,map,16.2,8.3,0.0,0.0,0.0,0.0,1.0
782.850015657,85,782,500015650,map,18.42,6.96,0.0,0.0,0.0,0.0,1.0
799.850015997,86,799,350015987,map,20.77,5.47,0.0,0.0,0.0,0.0,1.0
806.850016137,87,806,550016131,map,23.0,0.95,0.0,0.0,0.0,0.0,1.0
824.850016497,88,824,700016494,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
825.350016507,89,825,200016504,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
825.850016517,90,825,700016514,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
826.350016527,91,826,250016525,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
826.850016537,92,826,400016528,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
831.350016627,93,830,850016617,map,3.0,10.7,0.0,0.0,0.0,0.0,1.0
850.850017017,94,850,450017009,map,8.78,9.78,0.0,0.0,0.0,0.0,1.0
869.850017397,95,869,700017394,map,12.2,9.1,0.0,0.0,0.0,0.0,1.0
884.350017687,96,883,950017679,map,16.2,8.3,0.0,0.0,0.0,0.0,1.0
898.350017967,97,898,200017964,map,18.42,6.96,0.0,0.0,0.0,0.0,1.0
916.350018327,98,915,900018318,map,20.77,5.47,0.0,0.0,0.0,0.0,1.0
923.350018467,99,923,150018463,map,23.0,0.95,0.0,0.0,0.0,0.0,1.0
941.350018827,100,941,200018824,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
941.850018837,101,941,800018836,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
942.350018847,102,942,300018846,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
942.850018857,103,942,800018856,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
943.350018867,104,943,200018864,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
943.850018877,105,943,350018867,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
947.850018957,106,947,800018956,map,3.0,10.7,0.0,0.0,0.0,0.0,1.0
967.350019347,107,967,150019343,map,8.78,9.78,0.0,0.0,0.0,0.0,1.0
986.350019727,108,986,300019726,map,12.2,9.1,0.0,0.0,0.0,0.0,1.0
1001.350020027,109,1000,900020018,map,16.2,8.3,0.0,0.0,0.0,0.0,1.0
1015.350020307,110,1015,200020304,map,18.42,6.96,0.0,0.0,0.0,0.0,1.0
1032.350020647,111,1032,20640,map,20.77,5.47,0.0,0.0,0.0,0.0,1.0
1039.350020787,112,1039,300020786,map,23.0,0.95,0.0,0.0,0.0,0.0,1.0
1057.350021147,113,1057,300021146,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
1057.850021157,114,1057,800021156,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
1058.350021167,115,1058,300021166,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
1058.850021177,116,1058,800021176,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
1059.350021187,117,1059,250021185,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
1064.350021287,118,1063,850021277,map,3.0,10.7,0.0,0.0,0.0,0.0,1.0
1083.850021677,119,1083,400021668,map,8.78,9.78,0.0,0.0,0.0,0.0,1.0
