Time,data
179.600003592,1
324.800006496,2
492.750009855,3
633.200012664,4
801.750016035,5
969.150019383,6
1137.450022749,7
1304.950026099,8
1473.450029469,9
1642.400032848,10
1785.400035708,11
1924.900038498,12
2067.400041348,13
2212.950044259,14
2380.400047608,15
2523.950050479,16
2739.900054798,17
2885.450057709,18
3027.400060548,19
3171.00006342,20
3336.850066737,21
3482.900069658,22
3650.750073015,23
3817.750076355,24
3960.850079217,25
4127.300082546,26
4296.800085936,27
4464.800089296,28
4607.800092156,29
