Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
26.800000536,1,26,600000532,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
27.300000546,2,27,250000545,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
27.800000556,3,27,600000552,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
47.300000946,4,46,800000936,map,3.0,10.7,0.0,0.0,0.0,0.0,1.0
57.300001146,5,56,900001138,map,8.78,9.78,0.0,0.0,0.0,0.0,1.0
76.800001536,6,76,300001526,map,12.2,9.1,0.0,0.0,0.0,0.0,1.0
91.800001836,7,91,500001830,map,16.2,8.3,0.0,0.0,0.0,0.0,1.0
106.300002126,8,105,900002118,map,18.42,6.96,0.0,0.0,0.0,0.0,1.0
153.300003066,9,152,800003056,map,20.77,5.47,0.0,0.0,0.0,0.0,1.0
160.300003206,10,160,200003204,map,23.0,0.95,0.0,0.0,0.0,0.0,1.0
178.300003566,11,178,250003565,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
178.800003576,12,178,700003574,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
179.300003586,13,179,200003584,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
179.800003596,14,179,650003593,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
180.300003606,15,180,150003603,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
184.800003696,16,184,500003690,map,3.0,10.7,0.0,0.0,0.0,0.0,1.0
200.300004006,17,199,900003998,map,8.78,9.78,0.0,0.0,0.0,0.0,1.0
219.300004386,18,219,100004382,map,12.2,9.1,0.0,0.0,0.0,0.0,1.0
233.800004676,19,233,400004668,map,16.2,8.3,0.0,0.0,0.0,0.0,1.0
248.300004966,20,247,800004956,map,18.42,6.96,0.0,0.0,0.0,0.0,1.0
294.800005896,21,294,400005888,map,20.77,5.47,0.0,0.0,0.0,0.0,1.0
303.800006076,22,303,500006070,map,23.0,0.95,0.0,0.0,0.0,0.0,1.0
321.800006436,23,321,750006435,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
322.300006446,24,322,200006444,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
322.800006456,25,322,650006453,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
323.300006466,26,323,250006465,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
323.800006476,27,323,600006472,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
328.300006566,28,328,6560,map,3.0,10.7,0.0,0.0,0.0,0.0,1.0
344.300006886,29,343,950006879,map,8.78,9.78,0.0,0.0,0.0,0.0,1.0
363.300007266,30,363,200007264,map,12.2,9.1,0.0,0.0,0.0,0.0,1.0
377.800007556,31,377,450007549,map,16.2,8.3,0.0,0.0,0.0,0.0,1.0
392.300007846,32,391,900007838,map,18.42,6.96,0.0,0.0,0.0,0.0,1.0
462.800009256,33,462,650009253,map,20.77,5.47,0.0,0.0,0.0,0.0,1.0
472.300009446,34,471,800009436,map,23.0,0.95,0.0,0.0,0.0,0.0,1.0
490.300009806,35,490,200009804,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
490.800009816,36,490,700009814,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
491.300009826,37,491,200009824,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
491.800009836,38,491,700009834,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
