Time,data
164.50000329,1
298.250005965,2
487.50000975,3
646.800012936,4
799.400015988,5
949.550018991,6
1110.0000222,7
1236.950024739,8
1394.700027894,9
1579.050031581,10
1730.900034618,11
1881.700037634,12
2017.50004035,13
2164.350043287,14
2320.700046414,15
2469.400049388,16
2629.300052586,17
2786.900055738,18
2914.650058293,19
3048.400060968,20
3199.200063984,21
3349.650066993,22
3498.50006997,23
3722.300074446,24
3875.0000775,25
4026.800080536,26
4156.600083132,27
4304.400086088,28
4452.300089046,29
