Time,data
100.450002009,2
131.600002632,3
173.750003475,4
188.300003766,5
249.90000499800001,6
306.00000612,7
324.700006494,8
340.750006815,9
346.750006935,10
364.800007296,11
373.300007466,12
400.700008014,13
435.400008708,14
496.800009936,15
512.050010241,16
518.850010377,17
590.300011806,18
613.600012272,19
654.850013097,20
685.400013708,21
717.350014347,22
750.800015016,23
809.250016185,24
838.50001677,25
900.000018,26
959.350019187,27
991.250019825,28
1024.750020495,29
1062.350021247,30
1119.350022387,31
1191.250023825,32
1246.950024939,33
1278.450025569,34
1313.700026274,35
1347.50002695,36
1404.450028089,37
1429.300028586,38
1451.800029036,39
1459.050029181,40
1498.300029966,41
1532.00003064,42
1588.450031769,43
1617.250032345,44
1683.600033672,45
1740.450034809,46
1770.600035412,47
1833.50003667,48
1969.600039392,49
2026.700040534,50
2056.50004113,51
2117.50004235,52
2173.800043476,53
2181.450043629,54
2204.250044085,55
2236.800044736,56
2270.300045406,57
2328.700046574,58
2358.50004717,59
2421.650048433,60
2479.150049583,61
2508.250050165,62
2540.050050801,63
2575.750051515,64
2637.650052753,65
2668.950053379,66
2737.200054744,67
2796.00005592,68
2811.700056234,69
2867.00005734,70
2924.00005848,71
2946.100058922,72
3000.950060019,73
3057.900061158,74
3074.400061488,75
3079.750061595,76
3117.100062342,77
3151.00006302,78
3208.850064177,79
3238.800064776,80
3300.700066014,81
3359.700067194,82
3375.350067507,83
3381.200067624,84
3449.650068993,85
3507.700070154,86
3539.450070789,87
3605.0000721,88
3614.600072292,89
3673.800073476,90
3731.900074638,91
3761.700075234,92
3795.150075903,93
3826.450076529,94
3883.850077677,95
3941.750078835,96
3977.950079559,97
4036.150080723,98
4108.250082165,99
4166.200083324,100
4195.550083911,101
4257.450085149,102
4314.00008628,103
4343.300086866,104
4404.400088088,105
4461.450089229,106
4492.50008985,107
4528.050090561,108
4562.200091244,109
