Time,data
140.650002813,1
260.400005208,2
343.200006864,3
423.300008466,4
801.100016022,5
880.800017616,6
961.100019222,7
1044.050020881,8
1124.400022488,9
1204.850024097,10
1285.250025705,11
1372.150027443,12
1456.300029126,13
1540.100030802,14
1625.800032516,15
1706.400034128,16
1832.600036652,17
1920.400038408,18
2011.150040223,19
2126.550042531,20
2219.400044388,21
2311.300046226,22
2394.550047891,23
2480.300049606,24
2583.450051669,25
2680.750053615,26
2768.850055377,27
2853.350057067,28
2934.250058685,29
