Time,data
95.750001915,1
220.150004403,2
358.850007177,3
384.050007681,4
516.350010327,5
595.250011905,6
673.00001346,7
743.600014872,8
763.150015263,9
769.200015384,10
839.800016796,11
896.400017928,12
921.450018429,13
976.050019521,14
1002.300020046,15
1083.900021678,16
1164.200023284,17
1243.700024874,18
1417.650028353,19
1475.750029515,20
1501.400030028,21
1667.600033352,22
1799.50003599,23
1875.300037506,24
1971.750039435,25
2033.600040672,26
2048.800040976,27
2086.600041732,28
2177.750043555,29
2258.50004517,30
2354.400047088,31
2410.550048211,32
2435.800048716,33
2544.350050887,34
2616.400052328,35
2641.550052831,36
2702.50005405,37
2727.00005454,38
2813.550056271,39
2893.800057876,40
2956.350059127,41
2982.600059652,42
3200.400064008,43
3410.600068212,44
