Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
85.450001709,1,85,300001706,map,14.19,2.91,0.0,0.0,0.0,0.0,1.0
98.950001979,2,98,800001976,map,16.16,3.8,0.0,0.0,0.0,0.0,1.0
109.950002199,3,109,600002192,map,18.78,6.04,0.0,0.0,0.0,0.0,1.0
121.50000243,4,121,2420,map,22.0,9.0,0.0,0.0,0.0,0.0,1.0
257.950005159,5,257,900005158,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
258.50000517,6,258,400005168,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
258.950005179,7,258,850005177,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
259.50000519,8,259,450005189,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
259.950005199,9,259,600005192,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
269.950005399,10,269,850005397,map,7.0,1.286,0.0,0.0,0.0,0.0,1.0
278.950005579,11,278,500005570,map,10.35,2.02,0.0,0.0,0.0,0.0,1.0
290.50000581,12,290,300005806,map,14.19,2.91,0.0,0.0,0.0,0.0,1.0
306.950006139,13,306,750006135,map,16.16,3.8,0.0,0.0,0.0,0.0,1.0
313.950006279,14,313,850006277,map,18.78,6.04,0.0,0.0,0.0,0.0,1.0
325.450006509,15,325,400006508,map,22.0,9.0,0.0,0.0,0.0,0.0,1.0
340.950006819,16,340,800006816,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
341.450006829,17,341,350006827,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
341.950006839,18,341,900006838,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
342.50000685,19,342,300006846,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
352.950007059,20,352,700007054,map,10.35,2.02,0.0,0.0,0.0,0.0,1.0
373.950007479,21,373,500007470,map,14.19,2.91,0.0,0.0,0.0,0.0,1.0
386.950007739,22,386,800007736,map,16.16,3.8,0.0,0.0,0.0,0.0,1.0
394.450007889,23,394,100007882,map,18.78,6.04,0.0,0.0,0.0,0.0,1.0
405.950008119,24,405,850008117,map,22.0,9.0,0.0,0.0,0.0,0.0,1.0
796.50001593,25,796,450015929,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
797.050015941,26,796,900015938,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
797.450015949,27,797,450015949,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
797.950015959,28,797,900015958,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
798.50001597,29,798,400015968,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
798.950015979,30,798,700015974,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
809.50001619,31,809,150016183,map,7.0,1.286,0.0,0.0,0.0,0.0,1.0
818.00001636,32,817,700016354,map,10.35,2.02,0.0,0.0,0.0,0.0,1.0
829.950016599,33,829,450016589,map,14.19,2.91,0.0,0.0,0.0,0.0,1.0
843.450016869,34,843,150016863,map,16.16,3.8,0.0,0.0,0.0,0.0,1.0
850.950017019,35,850,550017011,map,18.78,6.04,0.0,0.0,0.0,0.0,1.0
862.450017249,36,862,200017244,map,22.0,9.0,0.0,0.0,0.0,0.0,1.0
877.50001755,37,877,400017548,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
877.950017559,38,877,900017558,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
878.450017569,39,878,300017566,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
879.00001758,40,878,900017578,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
879.450017589,41,879,350017587,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
880.150017603,42,879,550017591,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
890.450017809,43,890,300017806,map,7.0,1.286,0.0,0.0,0.0,0.0,1.0
899.450017989,44,899,100017982,map,10.35,2.02,0.0,0.0,0.0,0.0,1.0
910.950018219,45,910,650018213,map,14.19,2.91,0.0,0.0,0.0,0.0,1.0
923.950018479,46,923,800018476,map,16.16,3.8,0.0,0.0,0.0,0.0,1.0
931.450018629,47,931,250018625,map,18.78,6.04,0.0,0.0,0.0,0.0,1.0
942.950018859,48,942,800018856,map,22.0,9.0,0.0,0.0,0.0,0.0,1.0
