Time,data
136.300002726,1
227.50000455,2
318.600006372,3
400.800008016,4
485.200009704,5
575.400011508,6
660.050013201,7
749.800014996,8
829.650016593,9
915.850018317,10
999.00001998,11
1090.200021804,12
1176.950023539,13
1261.300025226,14
1366.50002733,15
1484.700029694,16
1591.600031832,17
1674.850033497,18
1759.050035181,19
1840.050036801,20
1920.300038406,21
2002.100040042,22
2082.50004165,23
2163.00004326,24
2248.150044963,25
2339.50004679,26
2420.100048402,27
2530.950050619,28
2613.800052276,29
